year,values
1980,0.340193215
1981,0.362338915
1982,0.909038959
1983,52.1027899
1984,59.14526453
1985,66.14788605
1986,55.41528738
1987,67.25784248
1988,82.81096388
1989,85.71155919
1990,89.95924886
1991,86.37764615
1992,82.54806427
1993,78.80453784
1994,75.38306139
1995,77.90759412
1996,82.55923017
1997,81.94618017
1998,82.46887977
1999,83.1954572
2000,82.94389581
2001,83.54150536
2002,83.0611425
2003,83.76940521
2004,85.61907553
2005,85.66565665
2006,89.73209983
2007,89.40699116
2008,91.85270466
2009,92.91236014
2010,93.03560116
2011,93.87052526
2012,94.00105813
2013,94.97843867
2014,94.1890101
2015,94.35095254
2016,94.49264412
2017,93.99289594
2018,93.66011084
2019,93.14768745
